No.,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,Info,Message
26,4.663283088,3.65.137.17,10.0.2.15,MQTT,1271,1883,34039,"Publish Message [hospital/facility1], Publish Message [hospital/room1], Publish Message [hospital/room2], Publish Message [hospital/building5], Publish Message [hospital/department2], Publish Message [hospital/building3], Publish Message [hospital/department4], Publish Message [hospital/department5], Publish Message [hospital/department6]","{""long"": 80, ""range"": [0, 59], ""lat"": 86, ""type"": ""temperature"", ""unit"": ""C"", ""description"": ""Room Temperature""},{""long"": 92, ""range"": [8, 37], ""lat"": 80, ""type"": ""temperature"", ""unit"": ""F"", ""description"": ""Room Temperature""},{""range"": [4, 50], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""C"", ""lat"": 66, ""long"": 92},{""type"": ""temperature"", ""lat"": 81, ""long"": 95, ""unit"": ""C"", ""range"": [3, 50], ""description"": ""Room Temperature""},{""description"": ""Room Temperature"", ""lat"": 55, ""unit"": ""K"", ""type"": ""temperature"", ""long"": 88, ""range"": [7, 41]},{""range"": [4, 58], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""C"", ""lat"": 48, ""long"": 73},{""range"": [7, 35], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 64, ""long"": 64},{""unit"": ""C"", ""lat"": 59, ""type"": ""temperature"", ""description"": ""Room Temperature"", ""long"": 75, ""range"": [0, 42]},{""long"": 71, ""range"": [8, 53], ""lat"": 51, ""type"": ""temperature"", ""unit"": ""C"", ""description"": ""Room Temperature""}"
27,4.663406775,3.65.137.17,10.0.2.15,MQTT,62,1883,47723,Subscribe Ack (id=3),
28,4.665395131,3.65.137.17,10.0.2.15,MQTT,505,1883,47723,"Publish Message [metaverse/room2/floor3/deposit], Publish Message [metaverse/room2/floor3/light], Publish Message [metaverse/room2/area2/hydraulic_valve]","{""range"": [1, 49], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 90, ""long"": 87},{""range"": [1, 43], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""F"", ""lat"": 73, ""long"": 77},{""range"": [5, 54], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 52, ""long"": 43}"
29,4.668318936,3.65.137.17,10.0.2.15,MQTT,487,1883,47723,"Publish Message (id=51) [metaverse/room2/room0/light], Publish Message (id=52) [metaverse/room2/floor3], Publish Message (id=53) [metaverse/room2/room0]","{""range"": [9, 37], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 71, ""long"": 82},{""range"": [2, 40], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 58, ""long"": 100},{""range"": [3, 38], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""C"", ""lat"": 95, ""long"": 94}"
30,4.68284839,10.0.2.15,91.121.93.94,MQTT,88,51531,1883,Connect Command,
31,4.718062909,91.121.93.94,10.0.2.15,MQTT,62,1883,51531,Connect Ack,
32,5.672474451,10.0.2.15,3.65.137.17,MQTT,73,34039,1883,Subscribe Request (id=4) [hospital/+],
33,5.673342066,10.0.2.15,91.121.93.94,MQTT,77,43133,1883,Subscribe Request (id=3) [factory/ddqgur],
34,5.684249428,10.0.2.15,91.121.93.94,MQTT,82,51531,1883,Subscribe Request (id=1) [metaverse/facility4],
35,5.69351149,3.65.137.17,10.0.2.15,MQTT,62,1883,34039,Subscribe Ack (id=4),
36,5.70180035,3.65.137.17,10.0.2.15,MQTT,322,1883,34039,"Publish Message [hospital/facility1], Publish Message [hospital/room1]","{""long"": 80, ""range"": [0, 59], ""lat"": 86, ""type"": ""temperature"", ""unit"": ""C"", ""description"": ""Room Temperature""},{""long"": 92, ""range"": [8, 37], ""lat"": 80, ""type"": ""temperature"", ""unit"": ""F"", ""description"": ""Room Temperature""}"
37,5.702959755,3.65.137.17,10.0.2.15,MQTT,1005,1883,34039,"Publish Message [hospital/room2], Publish Message [hospital/building5], Publish Message [hospital/department2], Publish Message [hospital/building3], Publish Message [hospital/department4], Publish Message [hospital/department5], Publish Message [hospital/department6]","{""range"": [4, 50], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""C"", ""lat"": 66, ""long"": 92},{""type"": ""temperature"", ""lat"": 81, ""long"": 95, ""unit"": ""C"", ""range"": [3, 50], ""description"": ""Room Temperature""},{""description"": ""Room Temperature"", ""lat"": 55, ""unit"": ""K"", ""type"": ""temperature"", ""long"": 88, ""range"": [7, 41]},{""range"": [4, 58], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""C"", ""lat"": 48, ""long"": 73},{""range"": [7, 35], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 64, ""long"": 64},{""unit"": ""C"", ""lat"": 59, ""type"": ""temperature"", ""description"": ""Room Temperature"", ""long"": 75, ""range"": [0, 42]},{""long"": 71, ""range"": [8, 53], ""lat"": 51, ""type"": ""temperature"", ""unit"": ""C"", ""description"": ""Room Temperature""}"
38,5.703954994,91.121.93.94,10.0.2.15,MQTT,62,1883,43133,Subscribe Ack (id=3),
39,5.71356549,91.121.93.94,10.0.2.15,MQTT,62,1883,51531,Subscribe Ack (id=1),
40,6.643225817,10.0.2.15,52.29.173.150,MQTT,80,60609,1883,Subscribe Request (id=2) [university/room2],
41,6.643689517,127.0.0.1,127.0.0.1,MQTT,92,48109,1883,Connect Command,
42,6.643773712,127.0.0.1,127.0.0.1,MQTT,72,1883,48109,Connect Ack[Malformed Packet],
43,6.644967869,10.0.2.15,3.65.137.17,MQTT,81,47723,1883,Subscribe Request (id=4) [factory/facility4],
44,6.661130733,52.29.173.150,10.0.2.15,MQTT,62,1883,60609,Subscribe Ack (id=2),
45,6.66609078,52.29.173.150,10.0.2.15,MQTT,190,1883,60609,Publish Message [university/room2],"{""range"": [2, 47], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""F"", ""lat"": 59, ""long"": 95}"
46,6.666114467,3.65.137.17,10.0.2.15,MQTT,62,1883,47723,Subscribe Ack (id=4),
47,6.685420027,10.0.2.15,91.121.93.94,MQTT,77,51531,1883,Subscribe Request (id=2) [hospital/room2],
48,6.729260839,91.121.93.94,10.0.2.15,MQTT,192,1883,51531,"Subscribe Ack (id=2), Publish Message [hospital/room2]","{""range"": [6, 55], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 64, ""long"": 79}"
49,7.645336007,127.0.0.1,127.0.0.1,MQTT,101,48109,1883,Subscribe Request (id=1) [factory/ddqgur/section2/+],
50,7.646191345,10.0.2.15,3.65.137.17,MQTT,87,47723,1883,Subscribe Request (id=5) [university/room2/floor6],
51,7.671188058,3.65.137.17,10.0.2.15,MQTT,62,1883,47723,Subscribe Ack (id=5),
52,7.675161963,10.0.2.15,91.121.93.94,MQTT,80,43133,1883,Subscribe Request (id=4) [factory/building3],
53,7.676483559,10.0.2.15,3.65.137.17,MQTT,95,34039,1883,Subscribe Request (id=5) [metaverse/room2/floor6/pollution],
54,7.697466535,10.0.2.15,91.121.93.94,MQTT,84,51531,1883,Subscribe Request (id=3) [metaverse/department1],
55,7.703485854,3.65.137.17,10.0.2.15,MQTT,62,1883,34039,Subscribe Ack (id=5),
56,7.70808322,91.121.93.94,10.0.2.15,MQTT,62,1883,43133,Subscribe Ack (id=4),
57,7.738357316,91.121.93.94,10.0.2.15,MQTT,62,1883,51531,Subscribe Ack (id=3),
58,8.647779666,10.0.2.15,52.29.173.150,MQTT,74,60609,1883,Subscribe Request (id=3) [hospital/#],
59,8.648866698,10.0.2.15,3.65.137.17,MQTT,90,47723,1883,Subscribe Request (id=6) [university/ddqgur/floor6/+],
60,8.657703568,127.0.0.1,127.0.0.1,MQTT,91,33239,1883,Connect Command,
61,8.65816103,127.0.0.1,127.0.0.1,MQTT,72,1883,33239,Connect Ack[Malformed Packet],
62,8.674378326,52.29.173.150,10.0.2.15,MQTT,62,1883,60609,Subscribe Ack (id=3),
63,8.674451543,3.65.137.17,10.0.2.15,MQTT,62,1883,47723,Subscribe Ack (id=6),
64,8.675497123,52.29.173.150,10.0.2.15,MQTT,1858,1883,60609,"Publish Message [hospital/room1/section2/light], Publish Message [hospital/room2/room3], Publish Message [hospital/facility2/floor3/hydraulic_valve], Publish Message [hospital/facility1/area2], Publish Message [hospital/department2/section0], Publish Message [hospital/facility1/section2], Publish Message [hospital/department2/area3], Publish Message [hospital/department2/section0/deposit], Publish Message [hospital/department2/floor3], Publish Message [hospital/room1/floor3], Publish Message [hospital/department2/section2], Publish Message [hospital/department4/section2]","{""long"": 65, ""range"": [0, 42], ""lat"": 84, ""type"": ""temperature"", ""unit"": ""K"", ""description"": ""Room Temperature""},{""type"": ""temperature"", ""lat"": 59, ""long"": 60, ""unit"": ""K"", ""range"": [7, 40], ""description"": ""Room Temperature""},{""range"": [10, 44], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""C"", ""lat"": 62, ""long"": 91},{""long"": 58, ""range"": [2, 59], ""lat"": 76, ""type"": ""temperature"", ""unit"": ""C"", ""description"": ""Room Temperature""},{""description"": ""Room Temperature"", ""lat"": 88, ""unit"": ""F"", ""type"": ""temperature"", ""long"": 45, ""range"": [9, 43]},{""long"": 66, ""range"": [8, 39], ""lat"": 48, ""type"": ""temperature"", ""unit"": ""K"", ""description"": ""Room Temperature""},{""type"": ""temperature"", ""lat"": 93, ""long"": 88, ""unit"": ""K"", ""range"": [8, 58], ""description"": ""Room Temperature""},{""description"": ""Room Temperature"", ""lat"": 79, ""unit"": ""C"", ""type"": ""temperature"", ""long"": 58, ""range"": [2, 38]},{""description"": ""Room Temperature"", ""lat"": 94, ""unit"": ""C"", ""type"": ""temperature"", ""long"": 94, ""range"": [9, 40]},{""long"": 47, ""range"": [9, 46], ""lat"": 74, ""type"": ""temperature"", ""unit"": ""F"", ""description"": ""Room Temperature""},{""type"": ""temperature"", ""lat"": 51, ""long"": 92, ""unit"": ""C"", ""range"": [1, 40], ""description"": ""Room Temperature""},{""range"": [1, 34], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 86, ""long"": 68}"
65,8.676716846,52.29.173.150,10.0.2.15,MQTT,1947,1883,60609,"Publish Message [hospital/department6/area2/temperature], Publish Message [hospital/facility1/area2/temperature], Publish Message [hospital/facility1], Publish Message [hospital/room2/room0/deposit], Publish Message (id=51) [hospital/room2/room0], Publish Message (id=52) [hospital/building3/section0/humidity], Publish Message (id=53) [hospital/room2/area3], Publish Message (id=54) [hospital/facility2/area2/hydraulic_valve], Publish Message (id=55) [hospital/room2/section2], Publish Message (id=56) [hospital/department4/floor3/humidity], Publish Message (id=57) [hospital/room2/floor3], Publish Message (id=58) [hospital/facility2/room0], Publish Message (id=59) [hospital/department6/area2/hydraulic_valve]","{""long"": 59, ""range"": [8, 40], ""lat"": 79, ""type"": ""temperature"", ""unit"": ""K"", ""description"": ""Room Temperature""},{""long"": 43, ""range"": [4, 36], ""lat"": 70, ""type"": ""temperature"", ""unit"": ""K"", ""description"": ""Room Temperature""},{""long"": 80, ""range"": [0, 59], ""lat"": 86, ""type"": ""temperature"", ""unit"": ""C"", ""description"": ""Room Temperature""},{""range"": [10, 55], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 51, ""long"": 40},{""range"": [4, 32], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 71, ""long"": 95},{""description"": ""Room Temperature"", ""lat"": 46, ""unit"": ""K"", ""type"": ""temperature"", ""long"": 96, ""range"": [2, 53]},{""type"": ""temperature"", ""lat"": 71, ""long"": 40, ""unit"": ""F"", ""range"": [10, 33], ""description"": ""Room Temperature""},{""range"": [0, 41], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""C"", ""lat"": 90, ""long"": 47},{""range"": [10, 58], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""F"", ""lat"": 63, ""long"": 67},{""range"": [5, 49], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 99, ""long"": 57},{""range"": [2, 49], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 70, ""long"": 82},{""range"": [1, 48], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""F"", ""lat"": 71, ""long"": 45},{""long"": 74, ""range"": [0, 52], ""lat"": 72, ""type"": ""temperature"", ""unit"": ""F"", ""description"": ""Room Temperature""}"
66,8.677965521,52.29.173.150,10.0.2.15,MQTT,2052,1883,60609,"Publish Message [hospital/room1], Publish Message [hospital/room2], Publish Message [hospital/department2], Publish Message [hospital/department4], Publish Message [hospital/building5/section2], Publish Message [hospital/department6/room6], Publish Message [hospital/department6], Publish Message [hospital/building4/room6], Publish Message [hospital/department4/floor3/deposit], Publish Message [hospital/department2/floor3/hydraulic_valve], Publish Message [hospital/building3/section2/light], Publish Message [hospital/building5], Publish Message [hospital/department4/room0], Publish Message [hospital/facility1/room6]","{""long"": 92, ""range"": [8, 37], ""lat"": 80, ""type"": ""temperature"", ""unit"": ""F"", ""description"": ""Room Temperature""},{""range"": [4, 50], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""C"", ""lat"": 66, ""long"": 92},{""description"": ""Room Temperature"", ""lat"": 55, ""unit"": ""K"", ""type"": ""temperature"", ""long"": 88, ""range"": [7, 41]},{""range"": [7, 35], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 64, ""long"": 64},{""type"": ""temperature"", ""lat"": 75, ""long"": 97, ""unit"": ""K"", ""range"": [5, 32], ""description"": ""Room Temperature""},{""long"": 96, ""range"": [7, 56], ""lat"": 70, ""type"": ""temperature"", ""unit"": ""C"", ""description"": ""Room Temperature""},{""long"": 71, ""range"": [8, 53], ""lat"": 51, ""type"": ""temperature"", ""unit"": ""C"", ""description"": ""Room Temperature""},{""long"": 57, ""range"": [4, 45], ""lat"": 85, ""type"": ""temperature"", ""unit"": ""F"", ""description"": ""Room Temperature""},{""range"": [4, 48], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 91, ""long"": 95},{""type"": ""temperature"", ""lat"": 76, ""long"": 84, ""unit"": ""C"", ""range"": [2, 37], ""description"": ""Room Temperature""},{""range"": [9, 35], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""C"", ""lat"": 63, ""long"": 48},{""type"": ""temperature"", ""lat"": 81, ""long"": 95, ""unit"": ""C"", ""range"": [3, 50], ""description"": ""Room Temperature""},{""range"": [4, 47], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""F"", ""lat"": 50, ""long"": 81},{""long"": 56, ""range"": [3, 54], ""lat"": 94, ""type"": ""temperature"", ""unit"": ""C"", ""description"": ""Room Temperature""}"
67,8.678386381,10.0.2.15,3.65.137.17,MQTT,81,34039,1883,Subscribe Request (id=6) [hospital/building3],
68,8.69050397,10.0.2.15,52.29.173.150,MQTT,85,57265,1883,Connect Command,
69,8.694881967,10.0.2.15,52.29.173.150,MQTT,76,55677,1883,Connect Command,
70,8.697937169,3.65.137.17,10.0.2.15,MQTT,62,1883,34039,Subscribe Ack (id=6),
71,8.698976286,10.0.2.15,91.121.93.94,MQTT,81,51531,1883,Subscribe Request (id=4) [university/+/room3],
72,8.700768817,3.65.137.17,10.0.2.15,MQTT,191,1883,34039,Publish Message [hospital/building3],"{""range"": [4, 58], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""C"", ""lat"": 48, ""long"": 73}"
73,8.707909189,10.0.2.15,91.121.93.94,MQTT,87,35239,1883,Connect Command,
74,8.711580099,52.29.173.150,10.0.2.15,MQTT,67,1883,57265,Connect Ack,
75,8.716470724,52.29.173.150,10.0.2.15,MQTT,62,1883,55677,Connect Ack,
76,8.727395811,91.121.93.94,10.0.2.15,MQTT,62,1883,51531,Subscribe Ack (id=4),
77,8.727833369,91.121.93.94,10.0.2.15,MQTT,201,1883,51531,Publish Message [university/department5/room3],"{""unit"": ""C"", ""lat"": 94, ""type"": ""temperature"", ""description"": ""Room Temperature"", ""long"": 45, ""range"": [3, 51]}"
78,8.746341903,91.121.93.94,10.0.2.15,MQTT,62,1883,35239,Connect Ack,
79,9.658197988,10.0.2.15,3.65.137.17,MQTT,60,47723,1883,Publish Ack (id=51),
80,9.659241394,127.0.0.1,127.0.0.1,MQTT,101,33239,1883,Subscribe Request (id=1) [factory/+/room3/pollution],
81,9.660783358,10.0.2.15,3.65.137.17,MQTT,60,47723,1883,Publish Ack (id=52),
82,9.662424843,10.0.2.15,3.65.137.17,MQTT,60,47723,1883,Publish Ack (id=53),
83,9.678911645,10.0.2.15,91.121.93.94,MQTT,80,43133,1883,Subscribe Request (id=5) [metaverse/room2/#],
84,9.69452738,10.0.2.15,52.29.173.150,MQTT,78,57265,1883,Subscribe Request (id=1) [factory/ddqgur],
85,9.697547368,10.0.2.15,52.29.173.150,MQTT,76,55677,1883,Subscribe Request (id=1) [factory/room2],
86,9.700760664,10.0.2.15,91.121.93.94,MQTT,89,51531,1883,Subscribe Request (id=5) [university/facility4/room3],
87,9.709942166,10.0.2.15,91.121.93.94,MQTT,82,35239,1883,Subscribe Request (id=1) [house/room2/+/light],
88,9.710340303,91.121.93.94,10.0.2.15,MQTT,62,1883,43133,Subscribe Ack (id=5),
89,9.71178513,91.121.93.94,10.0.2.15,MQTT,210,1883,43133,Publish Message [metaverse/room2/area3/hydraulic_valve],"{""type"": ""temperature"", ""lat"": 77, ""long"": 98, ""unit"": ""F"", ""range"": [8, 53], ""description"": ""Room Temperature""}"
90,9.721482919,91.121.93.94,10.0.2.15,MQTT,638,1883,43133,"Publish Message [metaverse/room2/room0/humidity], Publish Message [metaverse/room2/room0/hydraulic_valve], Publish Message [metaverse/room2/section2/deposit], Publish Message [metaverse/room2]","{""range"": [4, 42], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""C"", ""lat"": 91, ""long"": 45},{""range"": [3, 60], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 41, ""long"": 69},{""range"": [6, 51], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""K"", ""lat"": 73, ""long"": 66},{""type"": ""temperature"", ""lat"": 97, ""long"": 91, ""unit"": ""C"", ""range"": [2, 57], ""description"": ""Room Temperature""}"
91,9.72410807,52.29.173.150,10.0.2.15,MQTT,62,1883,55677,Subscribe Ack (id=1),
92,9.725212842,52.29.173.150,10.0.2.15,MQTT,185,1883,55677,Publish Message [factory/room2],"{""range"": [9, 42], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""F"", ""lat"": 89, ""long"": 41}"
93,9.727424654,52.29.173.150,10.0.2.15,MQTT,62,1883,57265,Subscribe Ack (id=1),
94,9.736135735,91.121.93.94,10.0.2.15,MQTT,62,1883,51531,Subscribe Ack (id=5),
95,9.740282407,91.121.93.94,10.0.2.15,MQTT,62,1883,35239,Subscribe Ack (id=1),
96,10.649520674,10.0.2.15,52.29.173.150,MQTT,82,60609,1883,Subscribe Request (id=4) [hospital/facility4],
97,10.681589163,10.0.2.15,91.121.93.94,MQTT,92,43133,1883,Subscribe Request (id=6) [house/room2/area0/temperature],
98,10.682125689,10.0.2.15,3.65.137.17,MQTT,88,34039,1883,Subscribe Request (id=7) [house/room2/+/temperature],
99,10.698953802,10.0.2.15,52.29.173.150,MQTT,76,55677,1883,Subscribe Request (id=2) [factory/room2],
100,10.707022312,3.65.137.17,10.0.2.15,MQTT,62,1883,34039,Subscribe Ack (id=7),
101,10.711963961,91.121.93.94,10.0.2.15,MQTT,62,1883,43133,Subscribe Ack (id=6),
102,10.722291915,52.29.173.150,10.0.2.15,MQTT,62,1883,55677,Subscribe Ack (id=2),
103,10.723480711,52.29.173.150,10.0.2.15,MQTT,185,1883,55677,Publish Message [factory/room2],"{""range"": [9, 42], ""description"": ""Room Temperature"", ""type"": ""temperature"", ""unit"": ""F"", ""lat"": 89, ""long"": 41}"
104,10.904886793,52.29.173.150,10.0.2.15,MQTT,62,1883,60609,Subscribe Ack (id=4),
105,11.68292199,10.0.2.15,91.121.93.94,MQTT,89,43133,1883,Subscribe Request (id=7) [house/building3/section2/+],
106,11.683056915,10.0.2.15,3.65.137.17,MQTT,79,34039,1883,Subscribe Request (id=8) [metaverse/ddqgur],
107,11.696829436,10.0.2.15,52.29.173.150,MQTT,84,57265,1883,Subscribe Request (id=2) [house/room2/floor6/#],
108,11.698686919,3.65.137.17,10.0.2.15,MQTT,62,1883,34039,Subscribe Ack (id=8),
109,11.703715889,10.0.2.15,91.121.93.94,MQTT,81,51531,1883,Subscribe Request (id=6) [hospital/building3],
110,11.71232053,10.0.2.15,91.121.93.94,MQTT,81,35239,1883,Subscribe Request (id=2) [house/ddqgur/room3],
111,11.721304773,91.121.93.94,10.0.2.15,MQTT,62,1883,43133,Subscribe Ack (id=7),
112,11.731014729,91.121.93.94,10.0.2.15,MQTT,62,1883,51531,Subscribe Ack (id=6),
113,11.74021694,91.121.93.94,10.0.2.15,MQTT,62,1883,35239,Subscribe Ack (id=2),
114,11.95420137,52.29.173.150,10.0.2.15,MQTT,62,1883,57265,Subscribe Ack (id=2),
115,12.667535115,10.0.2.15,52.29.173.150,MQTT,95,60609,1883,Subscribe Request (id=5) [metaverse/building3/room3/light],
116,12.701352974,52.29.173.150,10.0.2.15,MQTT,62,1883,60609,Subscribe Ack (id=5),
117,12.701489853,10.0.2.15,52.29.173.150,MQTT,80,55677,1883,Subscribe Request (id=3) [house/room2/area0],
118,12.725326222,52.29.173.150,10.0.2.15,MQTT,62,1883,55677,Subscribe Ack (id=3),
119,13.669612637,10.0.2.15,52.29.173.150,MQTT,94,60609,1883,Subscribe Request (id=6) [factory/room2/floor6/pollution],
120,13.685963381,10.0.2.15,3.65.137.17,MQTT,80,34039,1883,Subscribe Request (id=9) [metaverse/+/room3],
121,13.686532921,10.0.2.15,91.121.93.94,MQTT,75,43133,1883,Subscribe Request (id=8) [university/#],
122,13.700077473,10.0.2.15,52.29.173.150,MQTT,88,57265,1883,Subscribe Request (id=3) [house/facility4/section2],
123,13.703279033,10.0.2.15,52.29.173.150,MQTT,98,55677,1883,Subscribe Request (id=4) [university/room2/floor6/temperature],
124,13.703821091,52.29.173.150,10.0.2.15,MQTT,62,1883,60609,Subscribe Ack (id=6),
125,13.706560724,10.0.2.15,91.121.93.94,MQTT,93,51531,1883,Subscribe Request (id=7) [metaverse/department1/floor6/#],
126,13.715048996,10.0.2.15,91.121.93.94,MQTT,77,35239,1883,Subscribe Request (id=3) [university/+/#],
127,13.729801086,52.29.173.150,10.0.2.15,MQTT,62,1883,55677,Subscribe Ack (id=4),
128,13.732905694,52.29.173.150,10.0.2.15,MQTT,62,1883,57265,Subscribe Ack (id=3),
129,13.740057853,91.121.93.94,10.0.2.15,MQTT,62,1883,43133,Subscribe Ack (id=8),
130,13.740712587,91.121.93.94,10.0.2.15,MQTT,62,1883,51531,Subscribe Ack (id=7),
